item_code,valuation_rate
395,13.9
PHC,84.82
ABS6,53.95
CDFS,18.38
FT01,7.81
IS01,20.16
MB98,89.29
VMC3,18.61
VMS2,18.61
ABS09,59.07
ADT20,8.35
BBSE8,75.89
BS311,373.21
CDG01,29.17
CDM01,18.38
CF350,17.11
CS350,17.96
EGG04,13.39
EGT01,4.46
EGT02,26.79
EQ 04,245.89
HAT01,1.04
MC481,150
PL001,0
PRE24,401.79
RCS01,11.45
RDL25,38.44
RDL41,38.44
VAC01,3736.61
VB300,22.97
VME01,22.97
WIL01,13.04
100318,205.36
100409,1071.43
100481,1557.14
100521,54.31
100606,151.79
100693,0
101426,0
101865,2.41
101939,0
102115,411.61
102580,0
102790,292.86
102870,84.82
102979,25
103010,14.29
103111,0
103190,53.57
103671,44.64
103979,98.21
APRV01,42.96
APRV02,23.94
BBGU01,50.89
BBSA75,75.89
BBSB20,75.89
BBSSIL,107.14
BCOT01,31.25
BFCL01,49.11
BHAI01,40.18
BJEL01,50.89
CARY60,83.13
CDFSNF,24.03
DECS22,0
EGGT03,40.18
MCRO10,2.86
MORI01,4.5
MRCF01,13.86
NOVF03,14.29
NOVS07,306.43
OFCDAZ,321.21
OFCWIN,535.49
SEPA03,105.92
SMW350,6.38
TRU500,5.94
UNIQ02,23.66
VDCS01,22.97
VMCS01,22.97
VMSM01,22.97
1002604,241.07
100594A,0
BBSB100,102.68
BDCHH50,24.11
BDCIS50,24.11
BDCLA50,24.11
BDCNM50,24.11
BDCSM50,24.11
BDDSE02,24.11
BIO1234,67.86
CDSST02,18.38
CDSTR02,24.03
CDTCM01,19.27
CEDR350,17.24
CLADO01,40.18
EXT1234,31.49
EXTC004,38.81
JOH1234,77.99
MARCA01,23.3
MARCA02,23.3
MARCA03,23.3
MARCA04,23.3
MINOR01,20.36
OFCLIFE,1339.06
PRE1000,16.54
100112AB,91.7
10022451,15.18
BBSSIL02,66.96
BDCNM125,48.21
BDCSM125,48.21
BIOM0249,28.41
OFCLIFE1,1874.84
OCPCDDR38,2187.5
OFC22-056,2678.35
OFC22-057,16.96
OFC22-063,874.11
OFC23-046,401.79
OFC23-047,401.79
OFC23-052,11338.39
TRAV00001,1517.86
INSTR00150,0
INSTR00180,111.61
MISCE00007,1156.25
MISCE00024,811.61
OFFIC00001,53.57
OFFIC00008,0.85
OFFIC00010,506.25
FD-000000001,0.89
FD-000000002,22.77
FD-000000003,31.88
FD-000000004,4711.16
FD-000000005,262.47
FD-000000006,228.76
FD-000000007,22.91
FD-000000008,22.91
FD-000000009,27.89
FD-000000010,33.9
FD-000000011,33.9
FD-000000012,33.9
FD-000000013,33.9
FD-000000014,37.97
