item_code,valuation_rate
395,13.9
PHC,84.82
ABS6,53.95
CDFS,18.38
FT01,7.81
HBIG,1687.5
IS01,20.16
MB98,89.29
VMC3,18.61
VMS2,18.61
22416,4464.29
ABS09,59.07
ADT20,8.35
BBSE8,75.89
BS311,373.21
CDG01,29.17
CDM01,18.38
CF350,17.11
CS350,17.96
EGG03,8
EGG04,13.39
EGT01,4.46
EGT02,26.79
EQ 04,242.2
ERY01,3.08
HAT01,1.04
MC481,150
OMM20,33.88
PRE24,401.79
RCS01,11.45
RDL25,38.44
RDL41,38.44
VAC01,3736.61
VB300,22.97
VME01,22.97
WIL01,13.04
100318,205.36
100409,1071.43
100481,1557.14
100521,54.31
100606,151.79
100785,156.25
101865,2.41
102115,411.61
102790,292.86
102870,84.82
102979,25
103010,14.29
103190,53.57
103671,44.64
103979,98.21
BBGU01,50.89
BBSA75,75.89
BBSB20,75.89
BBSSIL,107.14
BCOT01,31.25
BFCL01,49.11
BHAI01,40.18
BJEL01,50.89
CARY60,87.5
CARY60,83.13
CDFSNF,24.03
CIP750,33.48
CLC200,33.48
EGGT03,40.18
MCRO10,2.86
MORI01,4.5
MRCF01,13.86
NOVF03,14.29
NOVM10,328.9
NOVS07,383.04
NOVS07,306.43
OFCDAZ,321.21
OFCWIN,535.49
SEPA03,105.92
SMW350,6.38
TRU500,5.94
UNIQ02,23.66
VDCS01,22.97
VMCS01,22.97
VMSM01,22.97
1002604,241.07
BBSB100,102.68
BDCHH50,24.11
BDCIS50,24.11
BDCLA50,24.11
BDCNM50,24.11
BDCSM50,24.11
BDDSE02,24.11
CDSST02,18.38
CDSTR02,24.03
CDTCM01,19.27
CEDR350,17.24
CLADO01,40.18
EXTC004,38.81
MARCA01,23.3
MARCA02,23.3
MARCA03,23.3
MARCA04,23.3
MINOR01,20.36
OFCLIFE,1339.06
PRE1000,16.54
10022451,15.18
BDCNM125,48.21
BDCSM125,48.21
BIOM0249,28.41
OFCLIFE1,1874.84
OCPCDDR38,2187.5
OFC22-056,2678.35
OFC22-057,16.96
OFC22-063,874.11
OFC23-046,401.79
OFC23-047,401.79
OFC23-052,11338.39
TRAV00001,1517.86
INSTR00180,111.61
MISCE00007,1156.25
MISCE00024,811.61
OFFIC00001,53.57
OFFIC00008,0.85
OFFIC00010,506.25
FD-000000001,0.89
FD-000000002,22.77
FD-000000003,31.88
FD-000000004,4711.16
FD-000000005,262.47
FD-000000007,23.62
FD-000000007,22.91
FD-000000008,23.62
FD-000000008,22.91
FD-000000009,28.75
FD-000000009,27.89
FD-000000010,33.9
FD-000000011,33.9
FD-000000012,33.9
FD-000000013,33.9
FD-000000015,28.1
