item_code,valuation_rate
FD-000000007,22.71
FD-000000008,22.71
FD-000000009,27.64
ARI13,69.69
PPA10,54.35
A40,18.21
ANRIX80,23.39
CA1030,22.65
DIME01,16.71
TP30,38.24
TP31,33.78
WAR25,14.29
BALS02,535.71
m24-199,20.79
m24-200,12.08
m24-201,59.53
PAUFR01,109.72
HD20028,71.63
ATC17,60.87
FIO995,5.27
ROBS01,243.51
ROBS02,121.75
COLO1,36.89
DANZ30,22.14
M22-022,405.85
m23-234,22.14
m24-087,64.94
NUTR1,11.07
CAL20,123.69
22653,755.49
CTPLUS,824.18
CTPLUS25,412.08
AN20,18.08
AN40,23.51
AN500,76.07
AN80,23.51
CN125,325
CN250,666.67
CN500,45.4
CNOD,81.84
FN5,12.97
GN3060,4.72
LEV5,14.84
LN530,49.87
100715,44.65
100716,22.32
100717,89.28
100718,131.9
101114,64.26
15341,108.3
324900,89.29
INSTR00160,10.12
M22-016,53.7
M22-017,663.95
BH135,77.11
BIO1234,77.11
100116,770.83
100117,216.35
100131,29.88
100487,1250
22564,800.59
BIO-L00013,18.45
BLDRU01,28.13
AMIN01,25.45
LIN03,204.55
LIN04,113.64
m24-166,22.32
MED-000000031,12.73
MED-000000032,12.73
VANCO01,863.64
ADF12,472.05
ADFL01,15.27
ADFL02,11.36
AXI1,37.05
AZEM01,86.29
BACT1,422.5
BACT2,48.41
BACT3,32.05
BR01,78.64
BROS03,324.55
C50040,49.32
CLARI50,630.45
CLARI70,860
COXD01,20.91
CPT01,6.14
DILA01,11.82
DILA02,17.27
DOM25,16.04
FAS1,20.45
FH5,114.77
FLU01,10.45
FLU04,13.64
FLU15,114.77
FLU17,237.27
FLU20,27.67
HMR01,538.18
HMR02,534.09
HMR03,480.23
HMR04,480.23
KEP05,752.27
M1G,1620.91
M22-002,29.09
M22-003,29.09
M22-004,29.09
M22-043,17.5
M22-044,10.91
M22-088,361.82
M22-089,221.71
M22-090,29.77
M22-110,30.23
M22-111,50.45
M22-112,74.55
M22-152,143.46
M22-153,169.55
M22-154,730
M22-195,1409.16
M22-196,445.23
M22-232,53.92
M23-105,117.29
M23-106,35.68
M23-107,21.14
M23-108,13.18
M23-109,48.5
m23-303,38.18
m24-033,1527.27
m24-034,420.91
m24-174,27.5
m24-175,19.55
m24-176,58.41
m24-205,18.41
M3G,374.55
MLAX02,16.82
MM500,933.41
MON02,687.27
MYC150,352.27
OVR01,23.41
OVR02,36.36
RAS1,32.5
S1INJ,638.64
S750,390.91
SILG30,45.23
TMZR01,30
TRI200,86.36
V2.25G,530.23
V4.5G,910.91
Z10/5,22.46
ZAL03,190.23
ZYM120,475.45
A5030,12.55
AB100100,16.92
AMR60,17.31
AP5050,16.36
AR5100,23.18
AR550,20
ASM02,270
ASM60,67.05
BRO08,83.64
CALT1,12.5
CAR100,13.91
CAR110,16.61
CEC13,235
CELER01,82.05
CELER02,140.45
CYC08,364.77
G15100,15.8
G30100,19.01
GLU18,6.76
GLUCO30,4.73
GLYS100,660.91
LET500,26.59
LIP15,32.73
LIP30,32.73
M22-018,13.11
M23-058,12.67
M23-081,16
M23-082,11.82
M23-217,55.19
M23-218,730.52
M23-219,25.16
m23-235,14.32
m24-088,263.64
m24-089,100
m24-090,230
m24-091,346.36
m24-092,491.36
m24-093,951.36
m24-094,21.36
m24-095,168.18
m24-096,218.18
m24-237,66.14
MET750,9.45
NEFR01,20.49
PLA75,14.76
ROS10,18.18
ROSA20,28.75
URIC40,15.91
URIC80,22.05
VAXC01,22.05
VAXC02,14.09
VIB01,11.3
ZYT10,19.07
XANP01,10.73
CONJ04,26.04
M22-230,1484.38
m24-125,88.39
ACT15,11.56
ACT30,15.42
ALANV01,72.24
AVAT10,8.91
RENA01,26.82
SPIR25,13.8
VES01,64.53
VESD02,389.61
VRN500,31.65
ZAMK02,21.95
MX301,13.72
MX308,15.25
F5C100,5.24
MET,93.3
MIC01,58.6
MP28,81.17
NAS05,91.78
NAS07,6.71
101418,99.03
101419,119.73
102783,183.45
102967,176.14
MPCS01,18.83
NEO01,97.28
NEO15,140.87
NEO16,169.01
RGM01,11.53
ATZ10,28.84
SYN01,275
DGVP01,639.29
DGVP02,1250
M23-041,23.54
CYB01,351.98
LIZ01,547.16
LIZL01,519.07
FOLA01,7.3
FOLA02,97.86
